# V61-HeNe
# Interferenz
#
# Ordnung_l	Abstand_l[m]	Ordnung_r	Abstand_r[m]
1	0.038	1	0.038
2	0.075	2	0.074
3	0.112	3	0.112
4	0.150	4	0.149
5	0.188	5	0.187
